country_code,country,fbs_item_code,fbs_item,footprint_type,footprint,mt_production_aqua,mt_production_total,%_production_aqua,footprint_unadj,gleam_region,source
1,Armenia,2761,Freshwater Fish,mg_abx_aminoglycosides,6.801508305490455,17560.0,17627.34,0.9961797979729216,6.8275910827849735,Near East and North Africa,"Schar D., et al. 2020. Global trends in antimicrobial use in aquaculture."
1,Armenia,2761,Freshwater Fish,mg_abx_amphenicols,23.30021657128414,17560.0,17627.34,0.9961797979729216,23.389569451916845,Near East and North Africa,"Schar D., et al. 2020. Global trends in antimicrobial use in aquaculture."
1,Armenia,2761,Freshwater Fish,mg_abx_arsenicals,0.0,17560.0,17627.34,0.9961797979729216,0.0,Near East and North Africa,"Schar D., et al. 2020. Global trends in antimicrobial use in aquaculture."
1,Armenia,2761,Freshwater Fish,mg_abx_cephalosporins,0.06734166639099462,17560.0,17627.34,0.9961797979729216,0.06759991171074232,Near East and North Africa,"Schar D., et al. 2020. Global trends in antimicrobial use in aquaculture."
1,Armenia,2761,Freshwater Fish,mg_abx_fluoroquinolones,11.178716620905108,17560.0,17627.34,0.9961797979729216,11.221585343983227,Near East and North Africa,"Schar D., et al. 2020. Global trends in antimicrobial use in aquaculture."
1,Armenia,2761,Freshwater Fish,mg_abx_glycopeptides,0.0,17560.0,17627.34,0.9961797979729216,0.0,Near East and North Africa,"Schar D., et al. 2020. Global trends in antimicrobial use in aquaculture."
1,Armenia,2761,Freshwater Fish,mg_abx_glycophospholipids,0.0,17560.0,17627.34,0.9961797979729216,0.0,Near East and North Africa,"Schar D., et al. 2020. Global trends in antimicrobial use in aquaculture."
1,Armenia,2761,Freshwater Fish,mg_abx_lincosamides,0.40404999834596766,17560.0,17627.34,0.9961797979729216,0.40559947026445387,Near East and North Africa,"Schar D., et al. 2020. Global trends in antimicrobial use in aquaculture."
1,Armenia,2761,Freshwater Fish,mg_abx_macrolides,4.983283312933603,17560.0,17627.34,0.9961797979729216,5.002393466594933,Near East and North Africa,"Schar D., et al. 2020. Global trends in antimicrobial use in aquaculture."
1,Armenia,2761,Freshwater Fish,mg_abx_nitrofurans,0.0,17560.0,17627.34,0.9961797979729216,0.0,Near East and North Africa,"Schar D., et al. 2020. Global trends in antimicrobial use in aquaculture."
1,Armenia,2761,Freshwater Fish,mg_abx_orthosomycins,0.0,17560.0,17627.34,0.9961797979729216,0.0,Near East and North Africa,"Schar D., et al. 2020. Global trends in antimicrobial use in aquaculture."
1,Armenia,2761,Freshwater Fish,mg_abx_other_aquaculture,0.06734166639099462,17560.0,17627.34,0.9961797979729216,0.06759991171074232,Near East and North Africa,"Schar D., et al. 2020. Global trends in antimicrobial use in aquaculture."
1,Armenia,2761,Freshwater Fish,mg_abx_penicillins,1.481516660601882,17560.0,17627.34,0.9961797979729216,1.4871980576363313,Near East and North Africa,"Schar D., et al. 2020. Global trends in antimicrobial use in aquaculture."
