country_iso_code,income_class,fbs_item,extensive,intensive,int_ext_diff
ABW,High income,Pigmeat,76.51854394266667,382.5927196933334,306.0741757506667
ABW,High income,Poultry Meat,9.937496159722222,49.68748078888889,39.74998462916667
AFG,Low income,Pigmeat,31.129701546666666,155.64850775466667,124.518806208
AFG,Low income,Poultry Meat,7.536348427777777,37.68174212777778,30.145393700000003
AGO,Lower middle income,Pigmeat,14.732152158666667,73.66076080666667,58.92860864800001
AGO,Lower middle income,Poultry Meat,3.357417590277777,16.787087954166665,13.429670363888889
AIA,Unclassified,Pigmeat,76.51854394266667,382.5927196933334,306.0741757506667
AIA,Unclassified,Poultry Meat,9.937496159722222,49.68748078888889,39.74998462916667
ALB,Upper middle income,Pigmeat,40.00133007866666,200.00665038933334,160.0053203106667
ALB,Upper middle income,Poultry Meat,10.500501583333335,52.50250791250001,42.002006329166676
AND,High income,Pigmeat,40.00133007866666,200.00665038933334,160.0053203106667
AND,High income,Poultry Meat,10.500501583333335,52.50250791250001,42.002006329166676
ANT,Unclassified,Pigmeat,76.51854394266667,382.5927196933334,306.0741757506667
ANT,Unclassified,Poultry Meat,9.937496159722222,49.68748078888889,39.74998462916667
ARE,High income,Pigmeat,31.129701546666666,155.64850775466667,124.518806208
ARE,High income,Poultry Meat,7.536348427777777,37.68174212777778,30.145393700000003
ARG,Upper middle income,Pigmeat,69.86761549333332,349.3380774746667,279.4704619813334
ARG,Upper middle income,Poultry Meat,9.714175997222222,48.57087999583334,38.85670399861112
ARM,Upper middle income,Pigmeat,39.639763876,198.19881939466666,158.55905551866664
ARM,Upper middle income,Poultry Meat,10.450521658333333,52.25260828333333,41.802086625
ATG,High income,Pigmeat,82.958801996,414.7940099813333,331.83520798533334
ATG,High income,Poultry Meat,10.15374257638889,50.7687128875,40.61497031111111
AUS,High income,Pigmeat,92.54523236,462.7261618586666,370.1809294986666
AUS,High income,Poultry Meat,18.37547993472222,91.87739968472222,73.50191975
AUT,High income,Pigmeat,9.225970218666665,46.129851097333336,36.90388087866667
AUT,High income,Poultry Meat,2.9342009888888887,14.671004961111112,11.736803972222223
AZE,Upper middle income,Pigmeat,43.363253138666664,216.816265688,173.45301254933332
AZE,Upper middle income,Poultry Meat,10.965226051388889,54.8261302625,43.86090421111111
BDI,Low income,Pigmeat,14.650236807999999,73.25118403866666,58.60094723066666
BDI,Low income,Poultry Meat,3.2611686305555554,16.305843143055554,13.044674512499999
BEL,High income,Pigmeat,16.180394022666665,80.90197012133332,64.72157609866666
BEL,High income,Poultry Meat,5.3036359125,26.518179572222223,21.214543659722224
BEN,Lower middle income,Pigmeat,14.694491589333335,73.47245795866667,58.77796636933333
BEN,Lower middle income,Poultry Meat,3.313167147222222,16.565835733333333,13.252668586111112
BFA,Low income,Pigmeat,14.710391886666667,73.551959436,58.841567549333334
BFA,Low income,Poultry Meat,3.3318496875,16.659248444444444,13.327398756944444
BGD,Lower middle income,Pigmeat,94.28702023733334,471.43510125066666,377.14808101333335
BGD,Lower middle income,Poultry Meat,17.85361841388889,89.26809207083333,71.41447365694444
BGR,Upper middle income,Pigmeat,38.849761934666674,194.24880955733332,155.39904762266664
BGR,Upper middle income,Poultry Meat,12.567777379166667,62.83888689305556,50.27110951388889
BHR,High income,Pigmeat,31.129701546666666,155.64850775466667,124.518806208
BHR,High income,Poultry Meat,7.536348427777777,37.68174212777778,30.145393700000003
BHS,High income,Pigmeat,90.606511464,453.03255739733333,362.42604593333334
BHS,High income,Poultry Meat,10.410531944444445,52.052659726388896,41.64212778194445
BIH,Upper middle income,Pigmeat,39.980689786666666,199.90344894,159.92275915333335
BIH,Upper middle income,Poultry Meat,10.497648440277779,52.48824219861112,41.99059375833334
BLR,Upper middle income,Pigmeat,38.685774408,193.42887203733335,154.74309762933336
BLR,Upper middle income,Poultry Meat,10.318650036111112,51.59325017638889,41.274600140277784
BLZ,Lower middle income,Pigmeat,82.68211698133334,413.410584884,330.7284679026667
BLZ,Lower middle income,Poultry Meat,10.144452245833333,50.72226122083333,40.577808974999996
BMU,High income,Pigmeat,76.51854394266667,382.5927196933334,306.0741757506667
BMU,High income,Poultry Meat,9.937496159722222,49.68748078888889,39.74998462916667
BOL,Lower middle income,Pigmeat,74.79475929733333,373.9737965213333,299.179037224
BOL,Lower middle income,Poultry Meat,9.87961614027778,49.3980807,39.51846455972222
