country_code,country,gleam_region,fbs_item_code,fbs_item,feed,meat,total_footprint,fraction_from_feed,income_class
1,Armenia,Near East and North Africa,2731,Bovine Meat,0.0019323671497584,134.271347356,134.27327972314976,1.4391300739377449e-05,Upper middle income
1,Armenia,Near East and North Africa,2732,Mutton & Goat Meat,0.0,343.8313571943396,343.8313571943396,0.0,Upper middle income
1,Armenia,Near East and North Africa,2733,Pigmeat,0.0631469739552493,198.19881939466666,198.2619663686219,0.0003185027119010927,Upper middle income
1,Armenia,Near East and North Africa,2734,Poultry Meat,1.6646363986588013,52.25260828333333,53.91724468199213,0.03087391443084581,Upper middle income
2,Afghanistan,South Asia,2731,Bovine Meat,0.0019323671497584,103.57882426399999,103.58075663114975,1.865565779403933e-05,Low income
2,Afghanistan,South Asia,2732,Mutton & Goat Meat,0.0,209.73395230377355,209.73395230377355,0.0,Low income
2,Afghanistan,South Asia,2733,Pigmeat,0.0,155.64850775466667,155.64850775466667,0.0,Low income
2,Afghanistan,South Asia,2734,Poultry Meat,0.24218665072153872,37.68174212777778,37.92392877849932,0.006386117117139103,Low income
3,Albania,Western Europe,2731,Bovine Meat,0.004503604771679701,135.226486834,135.2309904387717,3.33030524812934e-05,Upper middle income
3,Albania,Western Europe,2732,Mutton & Goat Meat,0.0016200375124396978,343.8313571943396,343.83297723185206,4.711699050749517e-06,Upper middle income
3,Albania,Western Europe,2733,Pigmeat,0.0008671534498333728,200.00665038933334,200.00751754278318,4.335604283713395e-06,Upper middle income
3,Albania,Western Europe,2734,Poultry Meat,0.010669434807992342,52.50250791250001,52.513177347308,0.00020317633300738166,Upper middle income
4,Algeria,Near East and North Africa,2731,Bovine Meat,0.004173641048837791,32.472390634,32.47656427504884,0.00012851239476844307,Lower middle income
4,Algeria,Near East and North Africa,2732,Mutton & Goat Meat,0.0,97.87473400377357,97.87473400377357,0.0,Lower middle income
4,Algeria,Near East and North Africa,2733,Pigmeat,0.0,71.04680333333333,71.04680333333333,0.0,Lower middle income
4,Algeria,Near East and North Africa,2734,Poultry Meat,0.01654149726627348,13.715738218055556,13.732279715321829,0.001204570370629522,Lower middle income
